REGION,HEI_NAME,HEI_TYPE,HEI_CITY,HEI_PROVINCE,FHE_GRANTEES,SEX_M,SEX_F,NOT_INDICATED,YEAR
06 - Western Visayas,West Visayas State University,SUC,CITY OF ILOILO (CAPITAL),ILOILO,9326,3388.0,5938.0,0.0,2018-2019
07 - Central Visayas,Bohol Island State University,SUC,CITY OF TAGBILARAN (CAPITAL),BOHOL,14623,6052.0,8571.0,0.0,2018-2019
07 - Central Visayas,Buenavista Community College,LUC,BUENAVISTA,BOHOL,1223,554.0,669.0,0.0,2018-2019
07 - Central Visayas,Carcar City College,LUC,CITY OF CARCAR,CEBU,538,152.0,386.0,0.0,2018-2019
07 - Central Visayas,Cebu Normal University,SUC,CITY OF CEBU (CAPITAL),CEBU,4795,889.0,3906.0,0.0,2018-2019
07 - Central Visayas,Cebu Technological University,SUC,CITY OF CEBU (CAPITAL),CEBU,33755,2892.2832244008714,3990.260348583878,33755.0,2018-2019
07 - Central Visayas,Negros Oriental State University,SUC,CITY OF DUMAGUETE (CAPITAL),NEGROS ORIENTAL,25370,11360.0,14010.0,0.0,2018-2019
07 - Central Visayas,Sibonga Community College,LUC,SIBONGA,CEBU,964,352.0,612.0,0.0,2018-2019
07 - Central Visayas,Siquijor State College,SUC,LARENA,SIQUIJOR,1443,642.0,801.0,0.0,2018-2019
07 - Central Visayas,Trinidad Municipal College,LUC,TRINIDAD,BOHOL,2973,1243.0,1730.0,0.0,2018-2019
08 - Eastern Visayas,Biliran Province State University,SUC,NAVAL (CAPITAL),BILIRAN,5523,2759.0,2764.0,0.0,2018-2019
08 - Eastern Visayas,Eastern Samar State University,SUC,CITY OF BORONGAN (CAPITAL),EASTERN SAMAR,11736,5357.0,6379.0,0.0,2018-2019
08 - Eastern Visayas,Eastern Visayas State University,SUC,CITY OF TACLOBAN (CAPITAL),LEYTE,17667,8278.0,9389.0,0.0,2018-2019
08 - Eastern Visayas,Leyte Normal University,SUC,CITY OF TACLOBAN (CAPITAL),LEYTE,5256,1561.0,3695.0,0.0,2018-2019
08 - Eastern Visayas,Maasin City College,LUC,CITY OF MAASIN,SOUTHERN LEYTE,925,278.0,647.0,0.0,2018-2019
08 - Eastern Visayas,Northwest Samar State University,SUC,CITY OF CALBAYOG,WESTERN SAMAR,6560,2989.0,3571.0,0.0,2018-2019
08 - Eastern Visayas,Palompon Institute Of Technology,SUC,PALOMPON,LEYTE,3856,2319.0,1537.0,0.0,2018-2019
08 - Eastern Visayas,Samar State University,SUC,CITY OF CATBALOGAN (CAPITAL),WESTERN SAMAR,6191,2811.0,3380.0,0.0,2018-2019
08 - Eastern Visayas,Southern Leyte State University,SUC,SOGOD,SOUTHERN LEYTE,8519,3959.0,4560.0,0.0,2018-2019
08 - Eastern Visayas,University Of Eastern Philippines,SUC,CATARMAN (CAPITAL),NORTHERN SAMAR,11414,5277.0,6137.0,0.0,2018-2019
08 - Eastern Visayas,Visayas State University,SUC,CITY OF BAYBAY,LEYTE,10854,4439.0,6396.0,19.0,2018-2019
09 - Zamboanga Peninsula,Jose Rizal Memorial State University,SUC,CITY OF DAPITAN,ZAMBOANGA DEL NORTE,12984,5861.0,7123.0,0.0,2018-2019
09 - Zamboanga Peninsula,Josefina H. Cerilles State College,SUC,SAN MIGUEL,ZAMBOANGA DEL SUR,9389,3590.0,5799.0,0.0,2018-2019
09 - Zamboanga Peninsula,Western Mindanao State University,SUC,CITY OF ZAMBOANGA,ZAMBOANGA DEL SUR,18455,7290.0,11165.0,0.0,2018-2019
09 - Zamboanga Peninsula,Zamboanga Del Sur Provincial Government College,LUC,AURORA,ZAMBOANGA DEL SUR,925,398.0,527.0,0.0,2018-2019
09 - Zamboanga Peninsula,Zamboanga Peninsula Polytechnic State University,SUC,CITY OF ZAMBOANGA,ZAMBOANGA DEL SUR,7214,3824.0,3390.0,0.0,2018-2019
09 - Zamboanga Peninsula,Zamboanga State College Of Marine Sciences And Technology,SUC,CITY OF ZAMBOANGA,ZAMBOANGA DEL SUR,3123,1676.0,1447.0,0.0,2018-2019
10 - Northern Mindanao,Bukidnon State University,SUC,CITY OF MALAYBALAY (CAPITAL),BUKIDNON,12698,4898.0,7800.0,0.0,2018-2019
10 - Northern Mindanao,Camiguin Polytechnic State College,SUC,MAMBAJAO (CAPITAL),CAMIGUIN,2036,925.0,1111.0,0.0,2018-2019
10 - Northern Mindanao,Central Mindanao University,SUC,MARAMAG,BUKIDNON,7139,2910.0,4229.0,0.0,2018-2019
10 - Northern Mindanao,Gov. Alfonso D. Tan College,LUC,CITY OF TANGUB,MISAMIS OCCIDENTAL,2082,819.0,1263.0,0.0,2018-2019
10 - Northern Mindanao,Initao College,LUC,INITAO,MISAMIS ORIENTAL,802,346.0,456.0,0.0,2018-2019
10 - Northern Mindanao,Magsaysay College,LUC,MAGSAYSAY,MISAMIS ORIENTAL,212,102.0,110.0,0.0,2018-2019
10 - Northern Mindanao,Mindanao State University - Iligan Institute Of Technology,SUC,CITY OF ILIGAN,LANAO DEL NORTE,7505,2961.0,4544.0,0.0,2018-2019
10 - Northern Mindanao,Northern Bukidnon State College,SUC,MANOLO FORTICH,BUKIDNON,866,2892.2832244008714,3990.260348583878,866.0,2018-2019
10 - Northern Mindanao,Northwestern Mindanao State College Of Science And Technology,SUC,CITY OF TANGUB,MISAMIS OCCIDENTAL,2572,1277.0,1295.0,0.0,2018-2019
10 - Northern Mindanao,Opol Community College,LUC,OPOL,MISAMIS ORIENTAL,1318,489.0,829.0,0.0,2018-2019
10 - Northern Mindanao,Pangantucan Bukidnon Community College,LUC,PANGANTUCAN,BUKIDNON,606,275.0,331.0,0.0,2018-2019
10 - Northern Mindanao,Tagoloan Community College,LUC,TAGOLOAN,MISAMIS ORIENTAL,3772,1631.0,2141.0,0.0,2018-2019
10 - Northern Mindanao,University Of Science And Technology Of Southern Philippines,SUC,CITY OF CAGAYAN DE ORO (CAPITAL),MISAMIS ORIENTAL,11315,5271.0,5272.0,772.0,2018-2019
11 - Davao Region,Davao De Oro State College,SUC,COMPOSTELA,DAVAO DE ORO,1720,742.0,978.0,0.0,2018-2019
11 - Davao Region,Davao Del Norte State College,SUC,CITY OF PANABO,DAVAO DEL NORTE,2739,1104.0,1635.0,0.0,2018-2019
11 - Davao Region,Davao Oriental State University,SUC,CITY OF MATI (CAPITAL),DAVAO ORIENTAL,7510,3108.0,4140.0,262.0,2018-2019
11 - Davao Region,"Governor Generoso College Of Arts, Science And Technology",LUC,GOVERNOR GENEROSO,DAVAO ORIENTAL,870,360.0,510.0,0.0,2018-2019
11 - Davao Region,"Kapalong College Of Agriculture, Sciences And Technology",LUC,KAPALONG,DAVAO DEL NORTE,2083,788.0,1295.0,0.0,2018-2019
11 - Davao Region,Kolehiyo Ng Pantukan,LUC,PANTUKAN,COMPOSTELA VALLEY,1187,496.0,691.0,0.0,2018-2019
11 - Davao Region,"Monkayo College Of Arts, Sciences And Technology",LUC,MONKAYO,COMPOSTELA VALLEY,1456,541.0,915.0,0.0,2018-2019
11 - Davao Region,"Southern Philippines Agri-Business, Marine And Aquatic School Of Technology",SUC,MALITA,DAVAO DEL SUR,3699,1615.0,2084.0,0.0,2018-2019
11 - Davao Region,University Of Southeastern Philippines,SUC,CITY OF DAVAO,DAVAO DEL SUR,4788,1898.0,2890.0,0.0,2018-2019
12 - Soccsksargen,Cotabato Foundation College Of Science And Technology,SUC,ARAKAN,NORTH COTABATO,2848,1185.0,1663.0,0.0,2018-2019
12 - Soccsksargen,Cotabato State University,SUC,CITY OF COTABATO,COTABATO CITY,6441,2901.0,3540.0,0.0,2018-2019
12 - Soccsksargen,Glan Institute Of Technology,LUC,GLAN,SARANGANI,667,319.0,348.0,0.0,2018-2019
12 - Soccsksargen,Makilala Institute Of Science And Technology,LUC,MAKILALA,NORTH COTABATO,1198,569.0,629.0,0.0,2018-2019
12 - Soccsksargen,Sultan Kudarat State University,SUC,CITY OF TACURONG,SULTAN KUDARAT,7061,2849.0,4212.0,0.0,2018-2019
12 - Soccsksargen,University Of Southern Mindanao-Main,SUC,KABACAN,NORTH COTABATO,11486,5241.0,6245.0,0.0,2018-2019
13 - NCR,"Eulogio ""Amang"" Rodriguez Institute Of Science And Technology",SUC,SAMPALOC,METRO MANILA,16929,8272.0,8655.0,2.0,2018-2019
13 - NCR,Marikina Polytechnic College,SUC,CITY OF MARIKINA,METRO MANILA,4669,2579.0,2090.0,0.0,2018-2019
13 - NCR,Pamantasan Ng Lungsod Ng Maynila,LUC,INTRAMUROS,METRO MANILA,5237,1884.0,3353.0,0.0,2018-2019
13 - NCR,Pamantasan Ng Lungsod Ng Muntinlupa,LUC,CITY OF MUNTINLUPA,METRO MANILA,7806,3696.0,4110.0,0.0,2018-2019
13 - NCR,Philippine Normal University,SUC,ERMITA,METRO MANILA,3703,966.0,2716.0,21.0,2018-2019
13 - NCR,Philippine State College Of Aeronautics,SUC,PASAY CITY,METRO MANILA,9202,3254.0,1269.0,4679.0,2018-2019
13 - NCR,Polytechnic University Of The Philippines,SUC,SAMPALOC,METRO MANILA,51115,21440.0,29634.0,41.0,2018-2019
13 - NCR,Rizal Technological University,SUC,CITY OF MANDALUYONG,METRO MANILA,21461,9131.0,12330.0,0.0,2018-2019
13 - NCR,Technological University Of The Philippines,SUC,ERMITA,METRO MANILA,15559,9992.0,5567.0,0.0,2018-2019
13 - NCR,University Of The Philippines,SUC,QUEZON CITY,METRO MANILA,27880,7963.0,12350.0,7567.0,2018-2019
14 - CAR,Abra State Institute Of Science And Technology,SUC,LANGAGILANG,ABRA,3122,1522.0,1600.0,0.0,2018-2019
14 - CAR,Apayao State College,SUC,CONNER,APAYAO,2184,941.0,1243.0,0.0,2018-2019
14 - CAR,Benguet State University,SUC,LA TRINIDAD,BENGUET,5886,1825.0,4061.0,0.0,2018-2019
14 - CAR,Ifugao State University,SUC,LAMUT,IFUGAO,4392,1903.0,2489.0,0.0,2018-2019
14 - CAR,Kalinga State University,SUC,TABUK CITY,KALINGA,4317,1757.0,2560.0,0.0,2018-2019
14 - CAR,Mountain Province State Polytechnic College,SUC,BONTOC,MOUNTAIN PROVINCE,4196,1964.0,2232.0,0.0,2018-2019
15 - BARMM,Adiong Memorial Polytechnic State College,SUC,DITSAAN-RAMAIN,LANAO DEL SUR,637,217.0,420.0,0.0,2018-2019
15 - BARMM,Basilan State College,SUC,CITY OF LAMITAN (CAPITAL),BASILAN,4195,1919.0,2276.0,0.0,2018-2019
15 - BARMM,Mindanao State University-Tawi-Tawi College Of Technology And Oceanography,SUC,BONGAO (CAPITAL),TAWI-TAWI,1646,647.0,999.0,0.0,2018-2019
15 - BARMM,Sulu State College,SUC,JOLO (CAPITAL),SULU PROVINCE,2992,1211.0,1781.0,0.0,2018-2019
15 - BARMM,Tawi-Tawi Regional Agricultural College,SUC,BONGAO (CAPITAL),TAWI-TAWI,2010,954.0,1056.0,0.0,2018-2019
15 - BARMM,Mindanao State University,SUC,CITY OF MARAWI (CAPITAL),LANAO DEL SUR,23032,7516.0,13471.0,2045.0,2018-2019
16 - Caraga,Agusan Del Sur State College Of Agriculture And Technology,SUC,BUNAWAN,AGUSAN DEL SUR,5194,2026.0,3167.0,1.0,2018-2019
16 - Caraga,Caraga State University,SUC,CITY OF BUTUAN (CAPITAL),AGUSAN DEL NORTE,6641,2832.0,3809.0,0.0,2018-2019
16 - Caraga,Hinatuan Southern College,LUC,HINATUAN,SURIGAO DEL SUR,786,318.0,468.0,0.0,2018-2019
