REGION,HEI_NAME,HEI_TYPE,HEI_CITY,HEI_PROVINCE,FHE_GRANTEES,SEX_M,SEX_F,NOT_INDICATED,YEAR
06 - Western Visayas,Bago City College,LUC,CITY OF BAGO,NEGROS OCCIDENTAL,2873,1286,1587,-,2018-2019
06 - Western Visayas,Capiz State University,SUC,CITY OF ROXAS (CAPITAL),CAPIZ,11323,4816,6506,1,2018-2019
06 - Western Visayas,Carlos Hilado Memorial State College,SUC,CITY OF TALISAY,NEGROS OCCIDENTAL,9724,4139,5585,-,2018-2019
06 - Western Visayas,Central Philippine State University,SUC,CITY OF KABANKALAN,NEGROS OCCIDENTAL,8255,3675,4580,-,2018-2019
06 - Western Visayas,Guimaras State College,SUC,BUENAVISTA,GUIMARAS,2234,1026,1208,-,2018-2019
06 - Western Visayas,Iloilo City Community College,LUC,CITY OF ILOILO (CAPITAL),ILOILO,446,91,355,,2018-2019
06 - Western Visayas,Iloilo Science And Technology University,SUC,CITY OF ILOILO (CAPITAL),ILOILO,10382,4833,5549,-,2018-2019
06 - Western Visayas,Iloilo State College Of Fisheries,SUC,BAROTAC NUEVO,ILOILO,3819,1684,2086,49,2018-2019
06 - Western Visayas,Northern Iloilo Polytechnic State College,SUC,ESTANCIA,ILOILO,7354,3460,3894,-,2018-2019
06 - Western Visayas,Northern Negros State College Of Science And Technology,SUC,CITY OF SAGAY,NEGROS OCCIDENTAL,5079,1992,3087,-,2018-2019
06 - Western Visayas,Libacao College Of Science And Technology,LUC,LIBACAO,AKLAN,175,64,105,6,2018-2019
06 - Western Visayas,Passi City College,LUC,CITY OF PASSI,ILOILO,1330,533,797,-,2018-2019
06 - Western Visayas,University Of Antique,SUC,SIBALOM,ANTIQUE,10478,3606,4251,2621,2018-2019
06 - Western Visayas,West Visayas State University,SUC,CITY OF ILOILO (CAPITAL),ILOILO,9326,3388,5938,-,2018-2019
07 - Central Visayas,Bohol Island State University,SUC,CITY OF TAGBILARAN (CAPITAL),BOHOL,14623,6052,8571,,2018-2019
07 - Central Visayas,Buenavista Community College,LUC,BUENAVISTA,BOHOL,1223,554,669,,2018-2019
07 - Central Visayas,Carcar City College,LUC,CITY OF CARCAR,CEBU,538,152,386,,2018-2019
07 - Central Visayas,Cebu Normal University,SUC,CITY OF CEBU (CAPITAL),CEBU,4795,889,3906,-,2018-2019
07 - Central Visayas,Cebu Technological University,SUC,CITY OF CEBU (CAPITAL),CEBU,33755,-,-,33755,2018-2019
07 - Central Visayas,Negros Oriental State University,SUC,CITY OF DUMAGUETE (CAPITAL),NEGROS ORIENTAL,25370,11360,14010,-,2018-2019
07 - Central Visayas,Sibonga Community College,LUC,SIBONGA,CEBU,964,352,612,-,2018-2019
07 - Central Visayas,Siquijor State College,SUC,LARENA,SIQUIJOR,1443,642,801,-,2018-2019
07 - Central Visayas,Trinidad Municipal College,LUC,TRINIDAD,BOHOL,2973,1243,1730,-,2018-2019
08 - Eastern Visayas,Biliran Province State University,SUC,NAVAL (CAPITAL),BILIRAN,5523,2759,2764,-,2018-2019
08 - Eastern Visayas,Eastern Samar State University,SUC,CITY OF BORONGAN (CAPITAL),EASTERN SAMAR,11736,5357,6379,-,2018-2019
08 - Eastern Visayas,Eastern Visayas State University,SUC,CITY OF TACLOBAN (CAPITAL),LEYTE,17667,8278,9389,-,2018-2019
08 - Eastern Visayas,Leyte Normal University,SUC,CITY OF TACLOBAN (CAPITAL),LEYTE,5256,1561,3695,-,2018-2019
08 - Eastern Visayas,Maasin City College,LUC,CITY OF MAASIN,SOUTHERN LEYTE,925,278,647,-,2018-2019
08 - Eastern Visayas,Northwest Samar State University,SUC,CITY OF CALBAYOG,WESTERN SAMAR,6560,2989,3571,-,2018-2019
08 - Eastern Visayas,Palompon Institute Of Technology,SUC,PALOMPON,LEYTE,3856,2319,1537,-,2018-2019
08 - Eastern Visayas,Samar State University,SUC,CITY OF CATBALOGAN (CAPITAL),WESTERN SAMAR,6191,2811,3380,-,2018-2019
08 - Eastern Visayas,Southern Leyte State University,SUC,SOGOD,SOUTHERN LEYTE,8519,3959,4560,-,2018-2019
08 - Eastern Visayas,University Of Eastern Philippines,SUC,CATARMAN (CAPITAL),NORTHERN SAMAR,11414,5277,6137,-,2018-2019
08 - Eastern Visayas,Visayas State University,SUC,CITY OF BAYBAY,LEYTE,10854,4439,6396,19,2018-2019
09 - Zamboanga Peninsula,Jose Rizal Memorial State University,SUC,CITY OF DAPITAN,ZAMBOANGA DEL NORTE,12984,5861,7123,,2018-2019
09 - Zamboanga Peninsula,Josefina H. Cerilles State College,SUC,SAN MIGUEL,ZAMBOANGA DEL SUR,9389,3590,5799,,2018-2019
09 - Zamboanga Peninsula,Western Mindanao State University,SUC,CITY OF ZAMBOANGA,ZAMBOANGA DEL SUR,18455,7290,11165,,2018-2019
09 - Zamboanga Peninsula,Zamboanga Del Sur Provincial Government College,LUC,AURORA,ZAMBOANGA DEL SUR,925,398,527,,2018-2019
09 - Zamboanga Peninsula,Zamboanga Peninsula Polytechnic State University,SUC,CITY OF ZAMBOANGA,ZAMBOANGA DEL SUR,7214,3824,3390,,2018-2019
09 - Zamboanga Peninsula,Zamboanga State College Of Marine Sciences And Technology,SUC,CITY OF ZAMBOANGA,ZAMBOANGA DEL SUR,3123,1676,1447,,2018-2019
10 - Northern Mindanao,Bukidnon State University,SUC,CITY OF MALAYBALAY (CAPITAL),BUKIDNON,12698,4898,7800,,2018-2019
10 - Northern Mindanao,Camiguin Polytechnic State College,SUC,MAMBAJAO (CAPITAL),CAMIGUIN,2036,925,1111,-,2018-2019
10 - Northern Mindanao,Central Mindanao University,SUC,MARAMAG,BUKIDNON,7139,2910,4229,-,2018-2019
10 - Northern Mindanao,Gov. Alfonso D. Tan College,LUC,CITY OF TANGUB,MISAMIS OCCIDENTAL,2082,819,1263,-,2018-2019
10 - Northern Mindanao,Initao College,LUC,INITAO,MISAMIS ORIENTAL,802,346,456,-,2018-2019
10 - Northern Mindanao,Magsaysay College,LUC,MAGSAYSAY,MISAMIS ORIENTAL,212,102,110,-,2018-2019
10 - Northern Mindanao,Mindanao State University - Iligan Institute Of Technology,SUC,CITY OF ILIGAN,LANAO DEL NORTE,7505,2961,4544,,2018-2019
10 - Northern Mindanao,Northern Bukidnon State College,SUC,MANOLO FORTICH,BUKIDNON,866,-,-,866,2018-2019
10 - Northern Mindanao,Northwestern Mindanao State College Of Science And Technology,SUC,CITY OF TANGUB,MISAMIS OCCIDENTAL,2572,1277,1295,,2018-2019
10 - Northern Mindanao,Opol Community College,LUC,OPOL,MISAMIS ORIENTAL,1318,489,829,-,2018-2019
10 - Northern Mindanao,Pangantucan Bukidnon Community College,LUC,PANGANTUCAN,BUKIDNON,606,275,331,-,2018-2019
10 - Northern Mindanao,Tagoloan Community College,LUC,TAGOLOAN,MISAMIS ORIENTAL,3772,1631,2141,-,2018-2019
10 - Northern Mindanao,University Of Science And Technology Of Southern Philippines,SUC,CITY OF CAGAYAN DE ORO (CAPITAL),MISAMIS ORIENTAL,11315,5271,5272,772,2018-2019
11 - Davao Region,Davao De Oro State College,SUC,COMPOSTELA,DAVAO DE ORO,1720,742,978,,2018-2019
11 - Davao Region,Davao Del Norte State College,SUC,CITY OF PANABO,DAVAO DEL NORTE,2739,1104,1635,,2018-2019
11 - Davao Region,Davao Oriental State University,SUC,CITY OF MATI (CAPITAL),DAVAO ORIENTAL,7510,3108,4140,262,2018-2019
11 - Davao Region,"Governor Generoso College Of Arts, Science And Technology",LUC,GOVERNOR GENEROSO,DAVAO ORIENTAL,870,360,510,-,2018-2019
11 - Davao Region,"Kapalong College Of Agriculture, Sciences And Technology",LUC,KAPALONG,DAVAO DEL NORTE,2083,788,1295,-,2018-2019
11 - Davao Region,Kolehiyo Ng Pantukan,LUC,PANTUKAN,COMPOSTELA VALLEY,1187,496,691,-,2018-2019
11 - Davao Region,"Monkayo College Of Arts, Sciences And Technology",LUC,MONKAYO,COMPOSTELA VALLEY,1456,541,915,-,2018-2019
11 - Davao Region,"Southern Philippines Agri-Business, Marine And Aquatic School Of Technology",SUC,MALITA,DAVAO DEL SUR,3699,1615,2084,-,2018-2019
11 - Davao Region,University Of Southeastern Philippines,SUC,CITY OF DAVAO,DAVAO DEL SUR,4788,1898,2890,-,2018-2019
12 - Soccsksargen,Cotabato Foundation College Of Science And Technology,SUC,ARAKAN,NORTH COTABATO,2848,1185,1663,,2018-2019
12 - Soccsksargen,Cotabato State University,SUC,CITY OF COTABATO,COTABATO CITY,6441,2901,3540,,2018-2019
12 - Soccsksargen,Glan Institute Of Technology,LUC,GLAN,SARANGANI,667,319,348,-,2018-2019
12 - Soccsksargen,Makilala Institute Of Science And Technology,LUC,MAKILALA,NORTH COTABATO,1198,569,629,-,2018-2019
12 - Soccsksargen,Sultan Kudarat State University,SUC,CITY OF TACURONG,SULTAN KUDARAT,7061,2849,4212,-,2018-2019
12 - Soccsksargen,University Of Southern Mindanao-Main,SUC,KABACAN,NORTH COTABATO,11486,5241,6245,-,2018-2019
13 - NCR,"Eulogio ""Amang"" Rodriguez Institute Of Science And Technology",SUC,SAMPALOC,METRO MANILA,16929,8272,8655,2,2018-2019
13 - NCR,Marikina Polytechnic College,SUC,CITY OF MARIKINA,METRO MANILA,4669,2579,2090,-,2018-2019
13 - NCR,Pamantasan Ng Lungsod Ng Maynila,LUC,INTRAMUROS,METRO MANILA,5237,1884,3353,-,2018-2019
13 - NCR,Pamantasan Ng Lungsod Ng Muntinlupa,LUC,CITY OF MUNTINLUPA,METRO MANILA,7806,3696,4110,-,2018-2019
13 - NCR,Philippine Normal University,SUC,ERMITA,METRO MANILA,3703,966,2716,21,2018-2019
13 - NCR,Philippine State College Of Aeronautics,SUC,PASAY CITY,METRO MANILA,9202,3254,1269,4679,2018-2019
13 - NCR,Polytechnic University Of The Philippines,SUC,SAMPALOC,METRO MANILA,51115,21440,29634,41,2018-2019
13 - NCR,Rizal Technological University,SUC,CITY OF MANDALUYONG,METRO MANILA,21461,9131,12330,-,2018-2019
13 - NCR,Technological University Of The Philippines,SUC,ERMITA,METRO MANILA,15559,9992,5567,-,2018-2019
13 - NCR,University Of The Philippines,SUC,QUEZON CITY,METRO MANILA,27880,7963,12350,7567,2018-2019
14 - CAR,Abra State Institute Of Science And Technology,SUC,LANGAGILANG,ABRA,3122,1522,1600,,2018-2019
14 - CAR,Apayao State College,SUC,CONNER,APAYAO,2184,941,1243,,2018-2019
14 - CAR,Benguet State University,SUC,LA TRINIDAD,BENGUET,5886,1825,4061,,2018-2019
14 - CAR,Ifugao State University,SUC,LAMUT,IFUGAO,4392,1903,2489,,2018-2019
14 - CAR,Kalinga State University,SUC,TABUK CITY,KALINGA,4317,1757,2560,,2018-2019
14 - CAR,Mountain Province State Polytechnic College,SUC,BONTOC,MOUNTAIN PROVINCE,4196,1964,2232,,2018-2019
15 - BARMM,Adiong Memorial Polytechnic State College,SUC,DITSAAN-RAMAIN,LANAO DEL SUR,637,217,420,-,2018-2019
15 - BARMM,Basilan State College,SUC,CITY OF LAMITAN (CAPITAL),BASILAN,4195,1919,2276,-,2018-2019
15 - BARMM,Mindanao State University-Tawi-Tawi College Of Technology And Oceanography,SUC,BONGAO (CAPITAL),TAWI-TAWI,1646,647,999,-,2018-2019
15 - BARMM,Sulu State College,SUC,JOLO (CAPITAL),SULU PROVINCE,2992,1211,1781,-,2018-2019
15 - BARMM,Tawi-Tawi Regional Agricultural College,SUC,BONGAO (CAPITAL),TAWI-TAWI,2010,954,1056,-,2018-2019
15 - BARMM,Mindanao State University,SUC,CITY OF MARAWI (CAPITAL),LANAO DEL SUR,23032,7516,13471,2045,2018-2019
16 - Caraga,Agusan Del Sur State College Of Agriculture And Technology,SUC,BUNAWAN,AGUSAN DEL SUR,5194,2026,3167,1,2018-2019
16 - Caraga,Caraga State University,SUC,CITY OF BUTUAN (CAPITAL),AGUSAN DEL NORTE,6641,2832,3809,-,2018-2019
16 - Caraga,Hinatuan Southern College,LUC,HINATUAN,SURIGAO DEL SUR,786,318,468,-,2018-2019
16 - Caraga,North Eastern Mindanao State University (Sdssu),SUC,CITY OF TANDAG (CAPITAL),SURIGAO DEL SUR,9956,4416,5538,2,2018-2019
16 - Caraga,Surigao State College Of Technology,SUC,CITY OF SURIGAO (CAPITAL),SURIGAO DEL NORTE,10375,5402,4965,8,2018-2019
17 - MIMAROPA,Baco Community College,LUC,BACO,ORIENTAL MINDORO,138,51,87,,2018-2019
17 - MIMAROPA,City College Of Calapan,LUC,CITY OF CALAPAN (CAPITAL),ORIENTAL MINDORO,437,153,284,,2018-2019
17 - MIMAROPA,Marinduque State College,SUC,BOAC (CAPITAL),MARINDUQUE,4663,2181,2482,-,2018-2019
17 - MIMAROPA,Mindoro State University,SUC,VICTORIA,ORIENTAL MINDORO,5899,2349,3550,-,2018-2019
17 - MIMAROPA,Occidental Mindoro State College,SUC,SAN JOSE,OCCIDENTAL MINDORO,8153,3328,4825,-,2018-2019
17 - MIMAROPA,Palawan State University,SUC,CITY OF PUERTO PRINCESA (CAPITAL),PALAWAN,16895,7025,9815,55,2018-2019
17 - MIMAROPA,Romblon State University,SUC,ODIONGAN,ROMBLON,8601,3956,4645,-,2018-2019
17 - MIMAROPA,Western Philippines University,SUC,ABORLAN,PALAWAN,6775,2911,3864,-,2018-2019
01 - Ilocos Region,Binalatongan Community College,LUC,SAN CARLOS CITY,PANGASINAN,1350,0,0,1350,2019-2020
01 - Ilocos Region,Don Mariano Marcos Memorial State University,SUC,SAN FERNANDO CITY,LA UNION,12768,0,0,12768,2019-2020
01 - Ilocos Region,Ilocos Sur Community College,LUC,VIGAN CITY,ILOCOS SUR,1354,579,775,,2019-2020
01 - Ilocos Region,Ilocos Sur Polytechnic State College,SUC,SANTA MARIA,ILOCOS SUR,5003,2622,2378,3,2019-2020
01 - Ilocos Region,Mariano Marcos State University,SUC,BATAC CITY,ILOCOS NORTE,8517,3593,4924,,2019-2020
01 - Ilocos Region,North Luzon Philippines State College,SUC,CANDON CITY,ILOCOS SUR,2686,1217,1469,,2019-2020
01 - Ilocos Region,Pangasinan State University,SUC,LINGAYEN,PANGASINAN,19083,8246,10837,,2019-2020
01 - Ilocos Region,University Of Eastern Pangasinan,LUC,BINALONAN,PANGASINAN,2366,1043,1323,,2019-2020
01 - Ilocos Region,University Of Northern Philippines,SUC,VIGAN CITY,ILOCOS SUR,9008,4152,4851,5,2019-2020
01 - Ilocos Region,Urdaneta City University,LUC,URDANETA CITY,PANGASINAN,4785,1649,3092,44,2019-2020
02 - Cagayan Valley,Batanes State College,SUC,BASCO,BATANES,476,243,233,-,2019-2020
02 - Cagayan Valley,Cagayan State University,SUC,TUGUEGARAO CITY,CAGAYAN,18267,7672,10595,,2019-2020
02 - Cagayan Valley,Isabela State University,SUC,ECHAGUE,ISABELA,24310,10749,13561,,2019-2020
02 - Cagayan Valley,Nueva Vizcaya State University,SUC,BAYOMBONG,NUEVA VIZCAYA,9643,-,-,9643,2019-2020
02 - Cagayan Valley,Quirino State University,SUC,DIFFUN,QUIRINO PROVINCE,4056,-,-,4056,2019-2020
03 - Central Luzon,Aurora State College Of Technology,SUC,BALER,AURORA,3279,1592,1687,,2019-2020
03 - Central Luzon,Baliwag Polytechnic College,LUC,BALIUAG,BULACAN,2094,868,1226,,2019-2020
03 - Central Luzon,Bataan Peninsula State University,SUC,CITY OF BALANGA (CAPITAL),BATAAN,10933,5133,5800,,2019-2020
03 - Central Luzon,Bulacan Agricultural State College,SUC,SAN ILDEFONSO,BULACAN,3568,1730,1838,,2019-2020
03 - Central Luzon,Bulacan Polytechnic College,LUC,CITY OF MALOLOS (CAPITAL),BULACAN,1456,-,-,1456,2019-2020
03 - Central Luzon,Bulacan State University,SUC,CITY OF MALOLOS (CAPITAL),BULACAN,33343,15632,17711,,2019-2020
03 - Central Luzon,Central Luzon State University,SUC,SCIENCE CITY OF MUÑOZ,NUEVA ECIJA,9513,3894,5619,,2019-2020
03 - Central Luzon,City College Of Angeles,LUC,CITY OF ANGELES,PAMPANGA,2645,1148,1497,,2019-2020
03 - Central Luzon,City College Of San Fernando,LUC,CITY OF SAN FERNANDO (CAPITAL),PAMPANGA,424,128,296,,2019-2020
03 - Central Luzon,Don Honorio Ventura Technological State University,SUC,BACOLOR,PAMPANGA,24121,12384,11737,,2019-2020
03 - Central Luzon,Eduardo L. Joson Memorial College,LUC,CITY OF PALAYAN (CAPITAL),NUEVA ECIJA,813,198,614,1,2019-2020
